,SYMBOL,tp,wp,mp,tmp,smp,yp
373,INDNIPPON,436.4,434.5,475.1,368.95,414.15,392.55
374,INDOCO,364.0,354.0,341.5,321.25,478.9,420.05
375,INDORAMA,56.5,59.7,58.05,27.2,51.25,49.05
376,INDOTECH,228.2,227.0,215.35,148.4,170.5,179.95
377,INDOTHAI,232.9,184.9,168.45,19.65,99.55,113.95
378,INDRAMEDCO,81.95,70.8,62.3,59.8,79.3,75.45
379,INDSWFTLAB,54.1,53.65,56.75,26.35,62.7,74.35
380,INDTERRAIN,75.7,73.05,79.2,636.15,47.35,48.25
381,INDUSINDBK,1144.15,1142.65,1213.4,942.45,1219.6,1037.05
382,INFRABEES,552.71,545.11,526.69,280.66,547.71,551.68
383,INFY,1507.45,1537.65,1451.2,1161.95,1792.15,1780.2
384,INGERRAND,2154.25,2189.2,2073.0,758.65,1185.75,1214.9
385,INOXLEISUR,526.7,512.95,515.3,227.85,413.75,438.7
386,INOXWIND,145.7,148.95,151.95,358.8,128.25,130.65
387,INSECTICID,739.3,718.9,720.15,402.9,696.9,656.95
388,INTELLECT,436.1,431.6,519.55,172.45,714.3,725.75
389,INVENTURE,2.95,2.7,2.85,11.2,2.6,2.9
390,IOB,21.05,18.55,17.55,36.25,22.9,21.3
391,IOC,70.1,68.25,67.45,402.2,136.35,132.95
392,IOLCP,374.8,359.0,380.35,80.3,606.95,541.0
393,IPCALAB,905.0,905.1,918.95,741.8,2415.6,2218.95
394,IRB,256.4,233.75,215.6,237.35,211.85,227.7
395,ISFT,138.55,147.65,154.35,435.5,141.5,183.75
396,ISMTLTD,50.1,55.95,48.65,7.3,36.5,29.9
397,ITC,353.5,348.7,334.1,328.8,262.55,232.9
398,ITDCEM,128.0,120.9,113.8,80.9,94.35,77.2
399,ITI,110.5,106.1,109.0,23.8,125.75,117.95
400,IVC,8.05,8.3,8.75,17.6,6.3,6.05
