,SYMBOL,tp,wp,mp,tmp,smp,yp,Value
1086,SUMMITSEC,686.25,746.9,751.75,679.7,579.4,474.35,268.0746433887676
593,JSWHL,4448.75,4542.25,4709.2,4710.9,4493.75,3401.55,267.97482914194353
426,HARRMALAYA,158.8,173.55,181.4,189.25,180.4,105.7,267.9419559307703
160,BIRLATYRE,24.45,24.3,25.4,24.85,28.8,19.7,267.9237310508211
840,ORIENTALTL,9.35,9.75,8.85,8.7,8.65,7.9,267.9125614069832
595,JTEKTINDIA,99.1,99.6,104.55,103.2,95.75,77.55,267.86899711380875
1136,TEAMLEASE,4001.6,4664.4,4855.6,3980.2,3317.4,2411.55,267.81869720279167
910,PSB,17.0,17.75,18.3,16.45,20.55,12.5,267.7812052643731
10,ABBOTINDIA,19602.5,19990.45,20573.75,19074.4,16036.7,15197.6,267.6503021487019
934,RATNAMANI,2138.55,2164.45,2214.0,2105.6,1933.55,1700.2,267.49478758280804
100,AUTOAXLES,1274.75,1352.6,1378.25,1250.05,1317.4,920.7,267.48123145343106
504,IDFNIFTYET,187.0,187.39,192.83,172.52,158.15,151.41,267.34954169961367
735,MCLEODRUSS,29.25,28.85,28.15,20.25,27.4,26.25,267.33192712087344
139,BDL,412.0,438.25,428.75,375.25,359.55,308.55,267.2872974595569
815,NITCO,23.45,24.3,24.0,21.0,22.65,18.4,267.2792315262122
576,JINDALSTEL,370.05,401.75,439.75,376.85,403.15,242.05,267.21766101109927
120,BALKRISIND,2311.15,2379.9,2584.4,2236.2,2131.1,1676.9,267.180274156567
