,SYMBOL,tp,wp,mp,tmp,smp,yp,Value
650,LIBAS,46.3,45.3,49.25,69.25,44.9,30.1,5.200155016749323
268,DIXON,5306.1,5161.1,4844.6,4235.05,4119.5,10015.05,5.194114168747079
306,ENIL,179.15,194.3,183.0,209.9,148.55,145.25,5.193873162586348
1083,SYMPHONY,1027.6,1070.05,1065.05,920.6,1098.3,846.1,5.19153627404048
401,GRPLTD,943.25,946.85,917.2,925.05,952.8,815.4,5.191045310407261
1025,SMSPHARMA,139.05,140.0,152.05,191.95,157.95,82.9,5.189787447220489
591,KAKATCEM,228.0,230.65,241.65,279.65,235.5,155.4,5.182663255057994
1115,TEXRAIL,31.4,33.8,36.85,37.0,25.75,23.55,5.182496661310211
97,ASTRON,51.2,52.3,57.9,53.95,40.55,46.25,5.1819433635947325
700,MANUGRAPH,11.4,11.8,12.15,13.8,10.75,8.2,5.181169275093359
390,GOODYEAR,1019.1,1025.3,1038.15,1189.65,910.3,833.0,5.175171947829896
44,ALOKINDS,22.9,22.85,23.75,23.7,18.85,22.3,5.174403376863873
30,AIAENG,1937.6,1906.85,1928.9,1985.9,1843.15,1725.15,5.170707454435483
1105,TCIFINANCE,5.2,5.4,5.55,5.75,4.75,4.1,5.167277251018949
1249,ZODIACLOTH,112.0,113.05,119.15,133.75,90.9,96.3,5.163242262482099
1157,UCALFUEL,147.25,148.05,150.6,155.3,152.55,115.35,5.162323830706519
568,JKIL,164.45,162.85,184.75,214.0,174.6,106.0,5.1616869416434605
429,HDFCLIFE,689.8,690.05,729.45,675.3,671.8,590.6,5.161512094325953
725,MIDHANI,196.0,189.75,188.15,190.7,195.55,185.9,5.159083937545321
990,SHALPAINTS,90.95,91.35,93.65,108.4,86.4,70.0,5.157760375741711
965,SATIN,76.35,77.0,78.5,85.6,84.4,54.7,5.156525258744342
1172,UNITEDTEA,372.05,385.2,392.6,407.4,321.6,317.45,5.155616258868847
182,CAPACITE,174.0,160.15,164.3,233.7,187.25,130.6,5.15161544530689
266,DICIND,440.45,433.7,457.95,520.95,388.15,370.15,5.147489316384522
160,BIRLATYRE,24.45,25.2,24.0,27.7,23.85,19.55,5.1474561942761605
1113,TEXINFRA,55.5,57.3,59.6,64.05,70.2,34.9,5.147161150021967
1174,UNIVCABLES,164.95,164.75,166.35,182.0,165.5,132.0,5.145414600764571
329,FINPIPE,222.85,226.35,216.0,169.5,157.2,568.4,5.140685758625925
1055,STERTOOLS,202.5,201.6,194.0,231.25,190.0,176.4,5.137703051737332
651,LIBERTSHOE,161.55,166.3,169.9,180.35,134.05,145.45,5.133887144986288
600,KCPSUGIND,20.8,21.8,22.05,24.1,22.65,14.35,5.128309285104548
575,JOCIL,211.1,223.1,229.85,259.7,172.2,172.55,5.126812133531914
929,RICOAUTO,42.75,43.1,47.75,55.6,40.75,30.1,5.125397735881666
289,EICHERMOT,2560.0,2590.25,2772.45,2641.8,2443.25,2139.05,5.125306561187185
53,ANDHRAPAP,228.55,230.35,231.9,248.4,225.2,188.65,5.124206938199013
849,PFS,19.45,20.55,19.8,19.9,17.85,17.3,5.120095497450455
113,BAJAJ-AUTO,3726.15,3791.75,3852.6,3832.0,3941.2,2977.4,5.119167839441284
744,MRF,78741.05,80093.75,78994.4,80453.0,77887.3,68516.85,5.118808007424967
106,AVANTIFEED,550.35,551.55,549.65,639.8,481.3,494.05,5.116710226875927
434,HEIDELBERG,242.25,240.25,256.55,266.6,244.1,192.25,5.113748868355625
122,BALMLAWRIE,126.25,129.1,128.65,138.95,126.35,101.35,5.112760862993646
961,SANOFI,8282.25,8069.3,7874.7,8598.95,7704.2,8317.85,5.112064970513111
293,EIMCOELECO,388.5,408.0,388.55,457.95,367.1,310.2,5.111135625622997
827,ORISSAMINE,2608.55,2618.25,2856.4,2977.05,2369.15,2136.45,5.1077678680126954
317,EXIDEIND,178.6,176.65,178.85,172.85,182.8,164.2,5.107628794649029
818,ORICONENT,26.3,27.85,31.8,34.35,23.3,18.25,5.106887727958938
606,KESORAMIND,63.9,65.65,63.1,96.25,72.95,40.45,5.105588366174045
285,EBBETF0425,1070.27,1070.37,1069.48,1053.47,1038.0,1015.66,5.101449174290061
1187,VAKRANGEE,37.15,37.6,40.15,34.5,51.55,26.8,5.096977292031296
734,MOIL,159.1,160.95,163.4,183.85,163.45,122.8,5.096558305568453
